Normal Costs,CUDA Costs,CUDA Cost Diff,Normal Removal,CUDA Removal,Memmove Removal,CUDA Removal Diff,Memmove Removal Diff
72,10,62,24,76,3,52,+AC0-21
65,9,56,24,79,3,55,+AC0-21
60,10,50,21,73,3,52,+AC0-18
61,9,52,24,77,3,53,+AC0-21
61,11,50,24,82,3,58,+AC0-21
61,10,51,23,73,3,50,+AC0-20
60,11,49,21,70,3,49,+AC0-18
60,11,49,24,82,3,58,+AC0-21
60,10,50,26,84,3,58,+AC0-23
62,11,51,23,77,3,54,+AC0-20
63,11,52,23,76,3,53,+AC0-20
61,10,51,21,72,3,51,+AC0-18
64,10,54,27,85,3,58,+AC0-24
64,11,53,23,74,2,51,+AC0-21
61,11,50,26,84,2,58,+AC0-24
62,11,51,24,82,3,58,+AC0-21
60,11,49,23,78,3,55,+AC0-20
59,11,48,22,76,2,54,+AC0-20
64,11,53,12,39,2,27,+AC0-10
63,11,52,25,84,3,59,+AC0-22
60,10,50,21,70,2,49,+AC0-19
60,11,49,24,82,3,58,+AC0-21
59,11,48,22,72,3,50,+AC0-19
60,10,50,20,66,2,46,+AC0-18
62,11,51,26,85,3,59,+AC0-23
60,11,49,11,35,3,24,+AC0-8
59,10,49,24,75,2,51,+AC0-22
62,11,51,24,82,3,58,+AC0-21
59,11,48,19,62,2,43,+AC0-17
59,11,48,12,43,2,31,+AC0-10
62,10,52,22,73,3,51,+AC0-19
60,11,49,23,79,3,56,+AC0-20
59,11,48,11,40,2,29,+AC0-9
59,11,48,2,7,2,5,0
60,11,49,17,58,3,41,+AC0-14
59,11,48,11,37,2,26,+AC0-9
58,11,47,24,77,3,53,+AC0-21
61,11,50,24,84,3,60,+AC0-21
62,11,51,19,64,2,45,+AC0-17
60,11,49,23,80,3,57,+AC0-20
60,11,49,22,73,3,51,+AC0-19
59,11,48,12,44,2,32,+AC0-10
59,11,48,25,85,3,60,+AC0-22
60,12,48,11,36,3,25,+AC0-8
59,11,48,20,70,3,50,+AC0-17
59,10,49,17,59,3,42,+AC0-14
59,12,47,12,40,3,28,+AC0-9
59,11,48,18,62,3,44,+AC0-15
59,10,49,9,33,3,24,+AC0-6
58,11,47,24,79,5,55,+AC0-19
61,9,52,1,8,2,7,1
60,11,49,27,83,3,56,+AC0-24
59,11,48,36,125,3,89,+AC0-33
59,11,48,21,71,2,50,+AC0-19
59,10,49,20,68,3,48,+AC0-17
59,11,48,19,62,3,43,+AC0-16
60,11,49,10,34,2,24,+AC0-8
59,11,48,12,41,3,29,+AC0-9
59,12,47,23,79,5,56,+AC0-18
59,10,49,15,53,2,38,+AC0-13
59,10,49,1,7,2,6,1
58,11,47,19,64,3,45,+AC0-16
59,11,48,23,77,3,54,+AC0-20
58,10,48,11,36,3,25,+AC0-8
58,11,47,19,63,3,44,+AC0-16
59,11,48,22,72,2,50,+AC0-20
58,10,48,12,44,3,32,+AC0-9
58,11,47,23,77,3,54,+AC0-20
